Publishers,Occupy in BestSeller
Random House,20
Simon & Schuster,15
Little  Brown,14
HarperCollins ,12
Holt,11
Threshold,11
Morrow,9
Back Bay,8
Penguin,7
Broadway,7
Grand Central,6
Scribner,6
Mercury Radio Arts,6
Anchor,6
Regnery,6
Vintage,6
St. Martin's,5
Norton,5
Houghton Mifflin Harcourt,4
Farrar  Straus & Giroux,4
Knopf,4
Doubleday,4
Gallery Books,4
Spiegel & Grau,4
Twelve,3
Sentinel,3
Viking,3
Harper,3
Crown Archetype,3
Dey Street,2
Flatiron,2
Blue Rider,2
Ballantine,2
Howard Books,2
Crown,2
Crown Forum,2
Harper Perennial,2
Bantam,2
Penguin Press,2
Thomas Nelson,2
Touchstone,2
Mariner,1
Waterbrook,1
Grove,1
Berkley,1
Harmony,1
Picador,1
HarperCollins  ,1
Hyperion,1
Thomas Dunne,1
It Books,1
Metropolitan,1
Bloomsbury,1
Belknap,1
Puffin,1
New American Library,1
Perseus,1
St. Martin's Griffin,1
Center Street,1
37 Ink,1
B&H Publishing,1
Workman,1
Various publishers,1
New Press,1
Atria,1
Flatiron Books,1
Avery,1
Open Road,1
Liveright,1
W Publishing,1
Baker,1
Berkley Caliber,1
Riverhead,1
Plume,1
Humanix,1
Skyhorse,1
Nelson Books,1
Little Brown,1
Greystone,1
Harvard University,1
Atlantic,1
Zondervan,1
