Type,Prop
News,0.4880685511671427
Blog,0.17659804983748645
Review,0.055333398995370826
Brief,0.04230473751600512
Op-Ed,0.03611149413966316
Video,0.03540628385698808
Slideshow,0.03221116911257756
Interactive Feature,0.024816310450113267
Letter,0.021061755146262188
Paid Death Notice,0.01882005318625037
Editorial,0.014967004826159756
Schedule,0.012441642864178076
Obituary,0.010849995075347188
Question,0.007430316162710529
List,0.004574017531764011
Quote,0.003912144193834335
briefing,0.003723037525854427
Obituary (Obit),0.0025332414064808432
Special Report,0.0024111100167438196
An Analysis; News Analysis,0.002265340293509308
Interview,0.0009140155619028859
Correction,0.0005476213926918152
Biography,0.0005042844479464198
recipe,0.0003742736137102334
Text,0.0003624544469614892
News Analysis,0.0002718408352211169
Web Log,0.00024032305722446567
,0.00019698611247907023
An Appraisal,0.00018910666797990742
Letter; Editorial,0.0001733477789815818
Caption,0.00010243277848911651
Op-Ed; Editorial,5.9095833743721065e-05
An Analysis; Economic Analysis,4.7276666994976855e-05
Summary,3.9397222495814046e-05
Recipe,3.1517777996651236e-05
An Analysis,2.7578055747069832e-05
Series,1.9698611247907023e-05
An Analysis; Military Analysis,1.1819166748744214e-05
First Chapter,7.879444499162809e-06
Addendum,7.879444499162809e-06
Newsletter,7.879444499162809e-06
Op-Ed; Correction,3.9397222495814046e-06
Op-Ed; Biography,3.9397222495814046e-06
Editors' Note,3.9397222495814046e-06
An Analysis; Review,3.9397222495814046e-06
Op-Ed; Review,3.9397222495814046e-06
Letter; Biography,3.9397222495814046e-06
